epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.234,1.345,2.27581,1.5856,0.59522,0.54764,0.56733,0.34737,1.36494,1.54275,1.57369,0.00331502,0.00331502,0.00331502
2,1262.95,1.29838,1.67049,1.5074,0.40624,0.34705,0.31725,0.1652,1.80166,2.27635,1.98158,0.00662641,0.00662641,0.00662641
3,1961.56,1.44479,1.81474,1.61868,0.3331,0.38345,0.25878,0.10133,2.06068,3.07126,2.1917,0.00991581,0.00991581,0.00991581
4,2619.82,1.58876,1.99961,1.73652,0.31689,0.2627,0.19569,0.07735,2.10456,3.81425,2.40607,0.009901,0.009901,0.009901
5,3322.67,1.55294,1.95222,1.73428,0.41237,0.34925,0.31,0.13608,1.97617,2.67137,2.24593,0.009868,0.009868,0.009868
6,4011.62,1.52917,1.9235,1.71673,0.4394,0.38313,0.33734,0.16034,1.81457,2.45383,2.05125,0.009835,0.009835,0.009835
7,4941.86,1.5002,1.86769,1.69216,0.47911,0.44456,0.39735,0.19647,1.81133,2.23366,2.0785,0.009802,0.009802,0.009802
8,5665.93,1.47824,1.80214,1.66453,0.47118,0.38577,0.37461,0.17269,1.93709,2.37272,2.16879,0.009769,0.009769,0.009769
9,6480.66,1.44171,1.7833,1.65376,0.43208,0.35702,0.31686,0.15628,1.95949,2.65762,2.14521,0.009736,0.009736,0.009736
10,7156.22,1.39253,1.69621,1.61206,0.49878,0.50014,0.48391,0.25218,1.57911,1.87241,1.804,0.009703,0.009703,0.009703
11,8065.57,1.37368,1.68716,1.61066,0.53716,0.51455,0.48658,0.26741,1.56053,1.89232,1.77401,0.00967,0.00967,0.00967
12,8641.56,1.36494,1.63233,1.60398,0.53987,0.50353,0.50608,0.27146,1.54559,1.79461,1.77438,0.009637,0.009637,0.009637
13,9419.98,1.35088,1.64377,1.59216,0.62721,0.52285,0.58287,0.32163,1.49746,1.59238,1.74494,0.009604,0.009604,0.009604
14,10057,1.338,1.61355,1.5806,0.59044,0.56593,0.58894,0.32637,1.46872,1.5715,1.72864,0.009571,0.009571,0.009571
15,10711.2,1.3144,1.56685,1.56165,0.60066,0.55587,0.56826,0.32168,1.45652,1.62315,1.69067,0.009538,0.009538,0.009538
16,11307.7,1.28837,1.5563,1.54918,0.57605,0.56015,0.56618,0.31379,1.42176,1.70549,1.67008,0.009505,0.009505,0.009505
17,12089.7,1.28468,1.50206,1.54224,0.58659,0.56871,0.55772,0.31369,1.49917,1.64502,1.7635,0.009472,0.009472,0.009472
18,12708.7,1.28059,1.51725,1.54332,0.56418,0.58179,0.57288,0.33041,1.47231,1.58082,1.71761,0.009439,0.009439,0.009439
19,13488.7,1.27696,1.49021,1.53858,0.63396,0.63244,0.62403,0.35471,1.39244,1.47123,1.63302,0.009406,0.009406,0.009406
20,14099.6,1.25956,1.49896,1.52012,0.6432,0.57023,0.6162,0.36331,1.39279,1.48762,1.64715,0.009373,0.009373,0.009373
21,14926.2,1.24241,1.45597,1.50614,0.62076,0.61404,0.63995,0.37778,1.36967,1.41279,1.62439,0.00934,0.00934,0.00934
22,15658,1.22999,1.41817,1.50257,0.70235,0.62298,0.66357,0.40034,1.35704,1.37267,1.61139,0.009307,0.009307,0.009307
23,16484.7,1.19989,1.37941,1.47763,0.65945,0.55936,0.62305,0.37239,1.38957,1.458,1.6367,0.009274,0.009274,0.009274
24,17255,1.2114,1.39049,1.4953,0.61959,0.62356,0.65619,0.39328,1.33993,1.38011,1.59189,0.009241,0.009241,0.009241
25,17950.4,1.19639,1.36339,1.46758,0.65078,0.62597,0.65925,0.39371,1.32739,1.38165,1.58237,0.009208,0.009208,0.009208
26,18671.2,1.18222,1.32834,1.46383,0.65845,0.56423,0.62921,0.38351,1.35245,1.42911,1.60317,0.009175,0.009175,0.009175
27,19427,1.18103,1.34875,1.47006,0.71952,0.54822,0.65114,0.39594,1.32648,1.40932,1.58056,0.009142,0.009142,0.009142
28,20160.9,1.18945,1.33781,1.46462,0.71209,0.59625,0.67804,0.40743,1.31207,1.33073,1.58007,0.009109,0.009109,0.009109
29,20903.8,1.16466,1.32445,1.45693,0.64507,0.64675,0.66315,0.41305,1.28161,1.29824,1.54273,0.009076,0.009076,0.009076
30,21649.2,1.16944,1.31536,1.44202,0.72095,0.59659,0.67781,0.4284,1.24066,1.28846,1.5052,0.009043,0.009043,0.009043
31,22395,1.13972,1.29278,1.43277,0.68028,0.65977,0.70103,0.4314,1.26751,1.24966,1.52297,0.00901,0.00901,0.00901
32,23061.2,1.15543,1.26699,1.44268,0.67306,0.62872,0.66824,0.4092,1.29956,1.30902,1.54947,0.008977,0.008977,0.008977
33,23722.9,1.14327,1.25385,1.42879,0.71962,0.58791,0.67425,0.42134,1.27363,1.26666,1.5402,0.008944,0.008944,0.008944
34,37092.1,1.14786,1.26312,1.44197,0.6821,0.68601,0.71798,0.44365,1.25858,1.20314,1.52497,0.008911,0.008911,0.008911
35,37969.1,1.13889,1.25731,1.44064,0.6942,0.66464,0.69317,0.4244,1.2777,1.24166,1.54591,0.008878,0.008878,0.008878
36,38626.1,1.11902,1.19889,1.40826,0.73325,0.60628,0.69808,0.44053,1.24825,1.25282,1.52011,0.008845,0.008845,0.008845
37,39293.3,1.09766,1.19271,1.40281,0.75139,0.62168,0.72262,0.45763,1.2428,1.20133,1.50916,0.008812,0.008812,0.008812
38,39980.1,1.1035,1.21129,1.40598,0.74167,0.61202,0.70831,0.45119,1.23701,1.19238,1.50467,0.008779,0.008779,0.008779
39,40603.6,1.09917,1.20863,1.40176,0.69972,0.67201,0.71556,0.45298,1.2518,1.19138,1.50923,0.008746,0.008746,0.008746
40,41241.5,1.10492,1.18604,1.40854,0.69727,0.68195,0.7308,0.45793,1.20992,1.16542,1.48894,0.008713,0.008713,0.008713
41,41847.8,1.09994,1.17873,1.40289,0.71067,0.68788,0.73285,0.46467,1.21148,1.1487,1.48668,0.00868,0.00868,0.00868
42,42620.2,1.09419,1.17877,1.40384,0.71079,0.66595,0.7355,0.45857,1.19791,1.14299,1.48332,0.008647,0.008647,0.008647
43,43363.8,1.09047,1.17492,1.40806,0.7181,0.69649,0.74297,0.46785,1.21615,1.15856,1.4883,0.008614,0.008614,0.008614
44,44039.9,1.07409,1.15706,1.39152,0.70707,0.71902,0.75766,0.48406,1.19944,1.10654,1.47093,0.008581,0.008581,0.008581
45,44684.4,1.08138,1.14015,1.38889,0.70017,0.7086,0.73857,0.46427,1.2274,1.13286,1.4971,0.008548,0.008548,0.008548
46,45273.6,1.0781,1.11731,1.38579,0.71938,0.68576,0.74906,0.4734,1.21249,1.09752,1.50336,0.008515,0.008515,0.008515
47,45957.3,1.07256,1.12802,1.38665,0.71702,0.69982,0.75549,0.48285,1.19905,1.08886,1.47288,0.008482,0.008482,0.008482
48,46601.3,1.03922,1.09096,1.34937,0.70863,0.70643,0.74872,0.4822,1.19961,1.11066,1.47505,0.008449,0.008449,0.008449
49,47457.9,1.05197,1.09996,1.35847,0.74174,0.65695,0.74187,0.48165,1.17963,1.07689,1.44949,0.008416,0.008416,0.008416
50,48126.7,1.04918,1.10017,1.35593,0.68775,0.73167,0.75098,0.48581,1.1859,1.08325,1.45642,0.008383,0.008383,0.008383
51,48977.1,1.04096,1.08205,1.35688,0.69867,0.72926,0.75076,0.48175,1.1908,1.0749,1.47728,0.00835,0.00835,0.00835
52,49745.6,1.03207,1.06672,1.35647,0.70188,0.71419,0.75777,0.49365,1.16134,1.07266,1.44446,0.008317,0.008317,0.008317
53,50650.9,1.04479,1.08191,1.36486,0.72099,0.70068,0.7453,0.48535,1.16779,1.1095,1.43795,0.008284,0.008284,0.008284
54,51364.9,1.03206,1.05598,1.35075,0.72001,0.72077,0.76235,0.49809,1.15678,1.03965,1.43529,0.008251,0.008251,0.008251
55,51921.7,1.01541,1.04205,1.33737,0.72472,0.72319,0.76962,0.49766,1.16131,1.03945,1.43904,0.008218,0.008218,0.008218
56,52640.6,1.01827,1.04198,1.33577,0.714,0.71367,0.76082,0.49598,1.17588,1.06472,1.463,0.008185,0.008185,0.008185
57,53352.6,1.01224,1.03402,1.33574,0.73616,0.71555,0.7726,0.49827,1.18213,1.04082,1.47464,0.008152,0.008152,0.008152
58,53959.8,1.02166,1.04018,1.34542,0.75816,0.71067,0.76778,0.49837,1.17777,1.05454,1.47209,0.008119,0.008119,0.008119
59,54665.4,1.01167,1.02149,1.33967,0.73828,0.71773,0.7644,0.49508,1.1727,1.07356,1.45967,0.008086,0.008086,0.008086
60,55313.7,0.99498,1.01761,1.32138,0.72438,0.7114,0.76334,0.50166,1.1469,1.03341,1.43997,0.008053,0.008053,0.008053
61,56032.1,1.00443,1.00542,1.3306,0.72427,0.73909,0.77146,0.51167,1.15414,1.03621,1.44327,0.00802,0.00802,0.00802
62,56678.9,0.99882,0.98791,1.3169,0.7621,0.69388,0.76645,0.5011,1.17156,1.00282,1.4588,0.007987,0.007987,0.007987
63,57350.7,0.98654,0.99761,1.31612,0.70995,0.74637,0.77894,0.51571,1.16938,1.00926,1.46577,0.007954,0.007954,0.007954
64,58083.7,0.98998,0.97777,1.30859,0.71785,0.7436,0.77803,0.51357,1.13609,0.99022,1.41707,0.007921,0.007921,0.007921
65,58932.8,0.98583,0.98923,1.31587,0.7023,0.73138,0.76812,0.51409,1.12972,1.01529,1.41832,0.007888,0.007888,0.007888
