epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,34712.9,0.78719,0.67993,1.1619,0.79866,0.70991,0.77476,0.5287,1.16044,0.97811,1.48252,0.008614,0.008614,0.008614
44,35501.3,0.77348,0.66366,1.15666,0.78861,0.72634,0.77359,0.51754,1.16894,0.95528,1.48841,0.008581,0.008581,0.008581
45,36236.7,0.77175,0.67001,1.15226,0.7781,0.72668,0.76539,0.50847,1.19582,1.00222,1.52319,0.008548,0.008548,0.008548
46,37030.7,0.77155,0.66167,1.15553,0.77455,0.68322,0.73087,0.47948,1.23296,1.04911,1.5711,0.008515,0.008515,0.008515
47,37663.8,0.77993,0.66852,1.15599,0.76754,0.73332,0.75955,0.50993,1.18888,0.94718,1.52788,0.008482,0.008482,0.008482
48,38348.1,0.75175,0.65283,1.13357,0.80876,0.71686,0.78735,0.52158,1.17439,0.92135,1.51311,0.008449,0.008449,0.008449
49,39217.9,0.76111,0.64911,1.1411,0.80913,0.70886,0.78026,0.52254,1.15471,0.94149,1.48088,0.008416,0.008416,0.008416
50,39796.8,0.77142,0.66709,1.14362,0.78313,0.71578,0.76793,0.51227,1.1796,1.0035,1.51815,0.008383,0.008383,0.008383
51,40443.2,0.76127,0.65917,1.1501,0.82145,0.71559,0.78274,0.52341,1.1712,0.96389,1.5149,0.00835,0.00835,0.00835
52,41012.3,0.75151,0.64946,1.13535,0.81386,0.69066,0.76893,0.51438,1.17463,0.97578,1.52736,0.008317,0.008317,0.008317
53,41867.5,0.76401,0.66004,1.1514,0.78087,0.72583,0.77574,0.52483,1.1387,0.96055,1.48304,0.008284,0.008284,0.008284
54,42503.3,0.7556,0.65201,1.13889,0.78229,0.71602,0.76595,0.51725,1.156,0.95427,1.49562,0.008251,0.008251,0.008251
55,43178.5,0.7467,0.63824,1.13393,0.7805,0.74736,0.77771,0.52615,1.14609,0.9187,1.50142,0.008218,0.008218,0.008218
56,43801.6,0.74695,0.64036,1.13628,0.7615,0.73081,0.76267,0.52049,1.15739,0.94944,1.50556,0.008185,0.008185,0.008185
57,44461.6,0.74527,0.64371,1.13951,0.80875,0.70222,0.7716,0.52368,1.14727,0.94916,1.49539,0.008152,0.008152,0.008152
