epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.073,1.94543,2.99847,1.95746,0.02564,0.0162,0.01197,0.00373,2.86895,13.3402,3.70368,0.000468121,0.000468121,0.000468121
2,445.057,2.15555,2.91717,2.14099,0.03728,0.026,0.02607,0.00948,3.13015,88.2473,6.34908,0.000941337,0.000941337,0.000941337
3,639.781,2.24527,3.01975,2.22711,0.01297,0.15332,0.00475,0.0011,3.3429,85.176,8.11079,0.00141141,0.00141141,0.00141141
4,846.516,2.2145,2.91606,2.17233,0.02775,0.08013,0.02237,0.00933,3.03356,14.7592,3.43443,0.00141485,0.00141485,0.00141485
5,1082.16,2.11079,2.80549,2.10727,0.46276,0.19856,0.07291,0.02079,2.72784,6.89508,2.71896,0.00141014,0.00141014,0.00141014
6,1307.83,2.02516,2.72329,2.07488,0.14844,0.18082,0.08544,0.02964,2.50864,4.38847,2.49551,0.00140542,0.00140542,0.00140542
7,1507.64,1.98958,2.64472,2.03668,0.18286,0.23397,0.15645,0.06251,2.34675,3.70861,2.37456,0.00140071,0.00140071,0.00140071
8,1707.91,1.93784,2.5863,2.00343,0.15317,0.11645,0.09701,0.03382,2.50821,7.11591,2.50419,0.00139599,0.00139599,0.00139599
9,1923.42,1.90575,2.60188,1.98146,0.21117,0.30278,0.16996,0.05682,2.35877,3.84007,2.45873,0.00139127,0.00139127,0.00139127
10,2113.5,1.93051,2.55935,1.96244,0.13252,0.24294,0.10602,0.03722,2.32056,3.12354,2.31284,0.00138656,0.00138656,0.00138656
11,2276.57,1.88323,2.43781,1.9428,0.22274,0.18922,0.10918,0.03426,2.50996,3.13817,2.59505,0.00138184,0.00138184,0.00138184
12,2463.92,1.87083,2.40368,1.92378,0.3612,0.34538,0.26419,0.09092,2.20173,3.17224,2.22738,0.00137713,0.00137713,0.00137713
13,2692.62,1.85501,2.40192,1.88361,0.29197,0.27069,0.20218,0.07778,2.3231,2.93844,2.31466,0.00137241,0.00137241,0.00137241
14,2852.22,1.80585,2.39225,1.88289,0.28552,0.33926,0.22036,0.08996,2.17301,2.63199,2.28015,0.0013677,0.0013677,0.0013677
15,3038.15,1.82637,2.36979,1.87262,0.3133,0.30878,0.25575,0.12163,2.20219,2.57003,2.22274,0.00136298,0.00136298,0.00136298
16,3230.35,1.80439,2.32127,1.87728,0.34285,0.32442,0.26172,0.11839,2.19527,2.62886,2.22322,0.00135826,0.00135826,0.00135826
17,3404.65,1.76708,2.30702,1.82884,0.41117,0.28618,0.22409,0.08846,2.09606,2.5276,2.07461,0.00135355,0.00135355,0.00135355
18,3584.03,1.79943,2.25678,1.84008,0.40859,0.35953,0.26842,0.11518,2.13664,2.77121,2.118,0.00134883,0.00134883,0.00134883
19,3773.89,1.77556,2.21437,1.81694,0.36115,0.34098,0.24839,0.10933,2.1384,2.60878,2.24992,0.00134412,0.00134412,0.00134412
20,3956.24,1.75441,2.23383,1.82331,0.38322,0.3468,0.26758,0.12176,2.1107,2.44061,2.07001,0.0013394,0.0013394,0.0013394
21,4155.33,1.73879,2.17297,1.83035,0.40082,0.32405,0.31718,0.14638,2.07357,2.68443,2.16048,0.00133469,0.00133469,0.00133469
22,4347.37,1.69233,2.14769,1.79036,0.50452,0.38912,0.34161,0.16802,2.10976,2.4902,2.146,0.00132997,0.00132997,0.00132997
